,energy,liveness,tempo,speechiness,acousticness,instrumentalness,danceability,duration_ms,loudness,valence,id,mood
0,0.549,0.22,130.749,0.0698,0.000798,0.00485,0.357,244573,-7.843,0.531,3kdMzXOcrDIdSWLdONHNK5,Energetic
1,0.975,0.16,129.022,0.0618,5.13e-05,0.713,0.594,205760,-3.21,0.899,3rFEKOClXOdNFO6fQGuQ9j,Energetic
2,0.724,0.237,130.037,0.0313,0.000827,0.000144,0.512,198081,-5.912,0.531,4G3DWijMhNkWZwLcxnDI0H,Energetic
3,0.828,0.06,126.037,0.0536,0.00175,0.0136,0.542,194626,-3.91,0.785,4YZVtRbdGOhHdGNi4JpCL5,Energetic
4,0.886,0.256,161.939,0.0714,2.93e-05,5.33e-06,0.252,210560,-4.678,0.498,7GvkOFkNsM6Exnkyqeajqm,Energetic
5,0.948,0.376,103.183,0.0356,0.00225,0.0,0.535,173680,-4.19,0.778,29EkMZmUNz1WsuzaMtVo1i,Energetic
6,0.843,0.362,97.691,0.272,0.0102,0.104,0.474,274282,-5.909,0.433,1wsnCfewxZlCs7cJxkaMZM,Energetic
7,0.588,0.373,170.889,0.0641,0.0359,0.000129,0.507,278707,-4.881,0.637,6NvRxjfYkkT2SpirAlmsjH,Energetic
8,0.886,0.334,124.013,0.0483,0.00111,0.000129,0.65,169720,-4.821,0.88,1LbwMX3159t6QxG3u7DRWe,Energetic
9,0.83,0.29,95.004,0.0652,0.129,0.0,0.64,195173,-5.43,0.62,274tSPavv09i163nBnYrCU,Energetic
10,0.939,0.233,106.031,0.0456,0.157,0.0,0.644,208107,-3.486,0.861,28IEbk5a7twNTbUEvWslUb,Energetic
11,0.948,0.105,196.578,0.147,0.0104,0.0,0.185,207587,-3.892,0.316,5eALoO9RRACvoxvLKF9zt4,Energetic
12,0.932,0.425,112.49,0.0485,0.00154,0.000142,0.554,242280,-3.424,0.478,1vcxF91pWs9uNwDROuiCPB,Energetic
13,0.953,0.152,105.046,0.0855,0.00148,0.000582,0.613,213800,-3.435,0.537,305WCRhhS10XUcH6AEwZk6,Energetic
14,0.981,0.197,158.937,0.0906,0.000867,0.00177,0.52,240572,-2.75,0.633,2nIulsLMiP2SMTDrtxfQXX,Energetic
15,0.892,0.751,136.133,0.0786,3.31e-05,0.0948,0.365,323373,-8.036,0.176,1wLQwg0mloy3yXjL0jPE0N,Energetic
16,0.855,0.372,185.791,0.29,0.00354,0.0,0.37,178116,-3.232,0.65,6spaGIZEfeDYlgAupMI34k,Energetic
17,0.855,0.194,185.913,0.157,0.00873,0.0,0.475,186475,-3.977,0.656,2UwBITdD5cadaSxBTjaiXZ,Energetic
18,0.638,0.26,141.95,0.0392,0.016,0.00131,0.549,236587,-5.775,0.536,7vp1UlW0aAWLyg67yjw3Vo,Energetic
19,0.971,0.354,188.116,0.161,0.000725,0.0,0.412,137307,-3.757,0.48,6ZDip2Ee7uMlHndFvFt26L,Energetic
20,0.747,0.221,106.021,0.0342,0.177,0.0,0.676,256344,-4.639,0.449,5xlUcf5txiXDgPleHzkm8s,Energetic
21,0.843,0.0699,175.798,0.114,0.000839,3.02e-05,0.282,161054,-6.002,0.418,2WRk6RxETSwdsg2dhtnXxc,Energetic
22,0.889,0.391,108.279,0.172,0.0185,0.000661,0.363,235147,-6.722,0.589,0gnS1k4dyGPuD3TtHFaCD8,Energetic
23,0.942,0.431,119.992,0.237,0.00039,6.36e-06,0.354,207987,-3.245,0.242,2hEYslbdYWFSIA6JboUvnR,Energetic
24,0.887,0.37,145.141,0.0439,5.67e-05,0.274,0.368,212856,-4.995,0.459,0PolLOpygR0TWHkszVKOXz,Energetic
25,0.865,0.141,148.013,0.0365,0.000583,0.0,0.42,243593,-5.502,0.341,1OgRBv3J0mxawWAMKE1dOd,Energetic
26,0.907,0.0982,112.037,0.0488,0.00115,0.0,0.568,230933,-4.641,0.337,6x5deYIe42rgRbStECDjYQ,Energetic
27,0.927,0.0849,136.021,0.0858,0.00421,0.000367,0.642,197280,-4.101,0.374,1BTZP3wYlQbjnq5L1QUGBc,Energetic
28,0.857,0.12,138.004,0.0582,0.0649,0.0896,0.646,204262,-5.2,0.77,4ETZv4djcbgj8qrC8acKLL,Energetic
29,0.687,0.122,107.992,0.0319,0.0041,0.611,0.651,242747,-7.371,0.374,5MEKqNAOlgt3sh5o0iq8EM,Energetic
30,0.884,0.0478,107.96,0.0448,0.000254,0.000347,0.516,336113,-3.706,0.448,1PLMK1ui86iHHG3FM1N7ue,Energetic
31,0.872,0.0997,166.3,0.068,0.00417,0.00975,0.356,193653,-7.837,0.607,3dOAXUx7I1qnzWzxdnsyB8,Energetic
32,0.912,0.106,116.761,0.0564,2.55e-05,0.000173,0.502,301920,-4.556,0.72,1f3yAtsJtY87CTmM8RLnxf,Energetic
33,0.894,0.269,90.604,0.0579,0.000387,0.000661,0.59,199893,-3.661,0.732,0SjhCnjTT2bXD9RtU8bFT9,Energetic
34,0.943,0.091,85.064,0.0602,0.00293,8.71e-06,0.442,181533,-3.205,0.781,6L89mwZXSOwYl76YXfX13s,Energetic
35,0.466,0.272,123.889,0.0864,0.00666,0.35,0.745,231920,-7.62,0.303,3m6KkYKdnbffMpGd9Pm9FP,Energetic
36,0.981,0.386,134.007,0.06,0.0171,1.07e-05,0.58,195667,-2.603,0.861,1bx7OUl2UmAnA5oZkm9If7,Energetic
37,0.664,0.133,104.56,0.0371,0.000389,0.000655,0.279,237027,-8.851,0.49,0ancVQ9wEcHVd0RrGICTE4,Energetic
38,0.726,0.0606,119.991,0.182,0.000883,1.1e-05,0.822,195652,-4.974,0.837,6xL1QFBJoyhGKhVOFrHkhX,Energetic
39,0.938,0.167,91.455,0.0456,0.0179,0.0,0.618,269000,-3.442,0.875,3ZOEytgrvLwQaqXreDs2Jx,Energetic
40,0.906,0.113,172.977,0.0735,0.00272,9.26e-06,0.517,211520,-3.677,0.731,3l9CW99AHtExIRV4hW2N5m,Energetic
41,0.881,0.0334,147.987,0.0567,4.19e-05,0.473,0.547,154293,-4.114,0.693,4idmN1WLCyvnQGnPWvszcf,Energetic
42,0.955,0.253,200.166,0.149,0.000159,0.00179,0.455,120697,-3.597,0.9,3TWB6wnyoEpqeBwLYSY0O0,Energetic
43,0.956,0.278,119.991,0.0542,0.00222,0.0,0.642,208253,-2.282,0.66,7859pcBwSTJ8jerSu6lh9C,Energetic
44,0.818,0.179,136.025,0.0457,0.0182,0.0,0.56,200737,-4.873,0.398,7MF8YHMgxCM4nVHCckAn6U,Energetic
45,0.686,0.0781,161.977,0.105,0.000481,0.0,0.51,189360,-3.437,0.822,5v8NOFjQCxBxpCNlul11Mg,Energetic
46,0.759,0.077,91.123,0.101,0.034,0.0,0.51,207142,-4.854,0.237,2UKMqNCVsHrAYzBZMA0rxL,Energetic
47,0.742,0.11,91.959,0.0716,0.0722,0.0199,0.7,302000,-6.777,0.197,2oaK4JLVnmRGIO9ytBE1bt,Energetic
48,0.752,0.353,138.012,0.037,0.000702,0.0,0.539,239147,-4.35,0.53,3mSikHaYxiUSMIzM4wOyQn,Energetic
49,0.852,0.0935,101.968,0.046,0.0175,0.306,0.425,321040,-5.607,0.512,0N5aQPSHQAADNV3VbRH7Ph,Energetic
50,0.435,0.0952,119.057,0.0604,0.479,0.553,0.832,259093,-9.598,0.279,5N7d8uxMeuO4HdncbkuhSB,Energetic
51,0.905,0.136,153.398,0.054,0.00172,0.0104,0.542,203347,-5.653,0.374,0ntQJM78wzOLVeCUAW7Y45,Energetic
52,0.789,0.0754,129.804,0.0676,0.00178,0.0071,0.674,121160,-6.903,0.918,1FTSo4v6BOZH9QxKc3MbVM,Energetic
53,0.824,0.0922,89.972,0.0413,0.000127,0.000311,0.501,236427,-7.25,0.57,1060gzllf4b0UETAXisR5l,Energetic
54,0.865,0.237,120.011,0.0472,0.0435,0.00559,0.671,209333,-5.735,0.865,2zrIyIdqafYozfsgiMY0Ae,Energetic
55,0.839,0.576,116.947,0.102,0.00125,0.0,0.397,191293,-6.674,0.764,7v9Ne4758aGFfFc5avh89h,Energetic
56,0.932,0.0476,109.989,0.0376,1.61e-05,0.0188,0.575,172600,-2.72,0.659,1edoYv7eYCeTzzQqFjvsDu,Energetic
57,0.938,0.0973,94.526,0.0386,0.0135,0.0,0.629,176803,-4.516,0.86,65TFv7X6VW3lJC6kadjk8u,Energetic
58,0.836,0.193,119.751,0.0446,0.000446,0.0,0.558,149048,-4.024,0.446,4c5NmcWUEjkIalsXJUsNqw,Energetic
59,0.914,0.325,132.006,0.0413,0.000124,0.0142,0.517,174853,-3.471,0.476,6nZpUrYPnt1JHCYwtt4wrf,Energetic
60,0.957,0.187,135.013,0.0529,0.00298,0.0,0.504,205627,-2.657,0.676,5ynWvN3bQymHVThxutO4hG,Energetic
61,0.736,0.103,114.218,0.0475,0.0204,0.000397,0.354,230773,-4.222,0.211,2z1oTtp1Pee6NyoOlVum0e,Energetic
62,0.947,0.212,157.987,0.144,0.000365,0.0,0.467,262613,-3.393,0.763,6cXxbf1eyxNDkjbGEawVFV,Energetic
63,0.912,0.0719,107.655,0.0369,0.365,2.09e-05,0.633,193200,-7.31,0.843,4yvLuzn3JWfasEnHFVBbdM,Energetic
64,0.72,0.0466,121.864,0.0623,5.59e-05,0.836,0.404,258467,-9.18,0.475,4qMzPtAZe0C9KWpWIzvZAP,Energetic
65,0.81,0.322,165.269,0.0439,0.0164,0.107,0.396,314747,-4.242,0.252,0BS1mTb6ZvZcVm217dyWFU,Energetic
66,0.804,0.0619,120.001,0.0612,3.79e-05,0.85,0.627,194000,-6.196,0.526,2IJWmSFNRb2Ci8LB3wNbQV,Energetic
67,0.819,0.185,139.784,0.051,0.000484,0.0412,0.422,259813,-7.698,0.598,0R194013qdfjeFiap76Nzs,Energetic
68,0.72,0.62,147.669,0.0567,0.0123,1.75e-05,0.277,280103,-7.515,0.576,7LHNVffwgV881YTVbOFZRn,Energetic
69,0.8,0.329,83.81,0.0523,0.00977,3.08e-06,0.391,210851,-2.761,0.398,11FvComd16zZX61DrlP3o1,Energetic
70,0.912,0.363,104.522,0.0618,0.0173,0.0,0.458,257760,-3.666,0.611,6EsBn1Md8C5YdbCzvwvZq8,Energetic
71,0.913,0.0671,145.522,0.074,0.000189,0.00142,0.462,252107,-4.298,0.72,1QZFn6QUNHfCp8s06C91hw,Energetic
72,0.931,0.412,135.826,0.0612,0.00126,0.00881,0.459,200693,-5.024,0.419,20j7B6mL9gnNvG3ic6Vwh5,Energetic
73,0.604,0.477,167.719,0.0495,0.000218,0.000579,0.577,263440,-5.703,0.637,6tsojOQ5wHaIjKqIryLZK6,Energetic
74,0.522,0.402,176.092,0.105,0.00294,0.0,0.405,149507,-7.066,0.459,6DTHkeVHU2CCB3601pJoHM,Energetic
75,0.901,0.538,105.999,0.0935,0.0234,0.0,0.626,164307,-5.075,0.731,41ZM2SdRn6KKqeHGjitBYD,Energetic
76,0.94,0.188,130.198,0.0696,0.000769,9.42e-05,0.366,255627,-5.119,0.369,5FZxsHWIvUsmSK1IAvm2pp,Energetic
77,0.959,0.028,172.984,0.0431,0.000917,0.0,0.433,269373,-4.04,0.365,7x8dCjCr0x6x2lXKujYD34,Energetic
78,0.946,0.294,109.94,0.0512,0.00102,0.00428,0.568,194853,-5.092,0.615,2mlTLwLY2lyRvzFrwguxIZ,Energetic
79,0.737,0.0758,138.034,0.173,0.0076,0.0,0.745,198018,-5.657,0.851,4lRG10ylRu2X4js7ZxK06Y,Energetic
80,0.87,0.118,96.006,0.189,0.0876,1.36e-06,0.565,194907,-5.299,0.363,1nUqrf8MMTeEhPQQpXHS11,Energetic
81,0.892,0.228,85.99,0.071,0.00261,0.000519,0.532,178795,-4.698,0.808,5Md4gGCtM6HV8eR2lQv8F2,Energetic
82,0.781,0.11,116.793,0.0364,0.00136,0.000735,0.516,235587,-4.004,0.897,7oXRMDUzBPekkLRTJhSGvC,Energetic
83,0.884,0.466,146.511,0.031,0.000138,0.0,0.538,233027,-3.251,0.736,5vfjUAhefN7IjHbTvVCT4Z,Energetic
84,0.913,0.346,96.184,0.0437,0.0193,8.59e-06,0.556,282160,-2.36,0.73,6vODhpvfWwdsO0i9MBWnEq,Energetic
85,0.705,0.0858,106.301,0.0452,0.000456,5.48e-06,0.536,238493,-4.241,0.454,2vx5Dc3Zxtd5yGDlh2pAAz,Energetic
86,0.875,0.117,169.152,0.199,0.0341,0.0,0.348,202133,-4.758,0.407,2zzLRQ78kKfPTx8FJQCdC2,Energetic
87,0.802,0.387,119.25,0.0392,0.25,0.0,0.491,248907,-7.106,0.472,77NNZQSqzLNqh2A9JhLRkg,Energetic
88,0.656,0.0631,123.207,0.0381,0.00174,0.0,0.678,257053,-6.41,0.485,26D1PRJjD9Jj1JGRk88KVc,Energetic
89,0.811,0.0677,123.048,0.0431,0.00105,2.08e-06,0.71,199200,-4.079,0.914,3jUTjCISntIUFL8jnAjzgc,Energetic
90,0.735,0.123,122.979,0.0384,0.00397,0.0205,0.831,260507,-6.254,0.97,5EYdTPdJD74r9EVZBztqGG,Energetic
91,0.943,0.317,140.042,0.0512,0.0056,0.000587,0.532,294800,-4.549,0.371,1rSo624QuuCteNxAzsU3SV,Energetic
92,0.897,0.0901,75.529,0.0756,9.67e-05,0.000474,0.503,192039,-5.213,0.621,7pAl6xhxJtpuekgzY1dmlE,Energetic
93,0.752,0.304,101.011,0.0261,0.000264,2.28e-05,0.549,188277,-5.933,0.656,0RLc0uoIsPFdIgwIEVxaXI,Energetic
94,0.792,0.106,97.998,0.035,0.000383,0.000259,0.547,234093,-5.645,0.395,66Avcq6c51vcMGXLzHH5d7,Energetic
95,0.883,0.868,125.02,0.0341,0.00114,0.041,0.555,316718,-3.426,0.507,383QXk8nb2YrARMUwDdjQS,Energetic
96,0.965,0.11,136.018,0.05,6.94e-06,0.000402,0.408,218000,-4.232,0.349,2UKARCqDrhkYDoVR4FN5Wi,Energetic
97,0.732,0.062,92.057,0.0795,0.0139,2.61e-06,0.641,262107,-7.57,0.763,47StfXJOnGLhYfMEWgoTiX,Energetic
98,0.962,0.294,161.292,0.0659,0.0103,0.00103,0.361,174027,-2.928,0.927,5wHNRDvNDTvAvNUllq5v7R,Energetic
99,0.814,0.216,108.016,0.0558,0.229,0.00676,0.658,183602,-4.631,0.69,3MjrueDQKVr6xDDseZwhEd,Energetic
0,0.792,0.0985,110.014,0.0304,0.00154,0.856,0.692,167083,-4.963,0.137,3sQaPmmVZ7vNC64ST8sLTf,Energetic
1,0.515,0.589,119.928,0.116,0.199,0.862,0.429,260063,-12.581,0.0795,6onDP5pnrrmbtju7VTNz55,Energetic
2,0.54,0.149,132.972,0.0327,0.12,0.882,0.658,253534,-10.152,0.183,4p4cH6eGdvOudqUzNLa9ap,Energetic
3,0.455,0.0819,170.068,0.0469,0.008,0.121,0.615,160941,-9.625,0.377,7Exe0mVrJblSNEiRuBI96A,Energetic
4,0.616,0.104,120.078,0.0389,0.0823,0.786,0.591,134671,-11.019,0.0936,2GdXVqIRleFYKJAiikfI4v,Energetic
5,0.467,0.0878,139.973,0.0421,0.00154,0.847,0.579,250404,-9.556,0.112,78VJCqeZzV3iNmXm5hhovQ,Energetic
6,0.778,0.128,100.363,0.027,0.459,0.925,0.617,127920,-8.871,0.152,0bXpmJyHHYPk6QBFj25bYF,Energetic
7,0.39,0.127,100.008,0.0287,0.00572,0.916,0.598,209923,-9.782,0.202,6LBWoasSTImUnGUoweyXL5,Energetic
8,0.632,0.124,171.755,0.0476,0.11,0.811,0.533,314587,-11.883,0.142,7bUGrBJEkLdtCIDYfT5abh,Energetic
9,0.445,0.127,140.169,0.0376,0.883,0.924,0.311,281747,-17.413,0.376,4QhBvbzk0ti2ClGrd6miSc,Energetic
10,0.446,0.0838,89.875,0.0952,0.0101,0.376,0.539,277333,-10.306,0.09,42gXGDSf4wPAT2OYKD9WB8,Energetic
11,0.524,0.0886,115.017,0.0475,0.551,0.815,0.734,242639,-9.481,0.198,1zdLuu3rZH2VG4dvJ7dniW,Energetic
12,0.328,0.0906,135.001,0.0812,0.749,0.894,0.553,258504,-13.52,0.785,5d3qZ4xZv0inQK292Mmnhh,Energetic
13,0.642,0.169,104.856,0.439,0.57,0.303,0.805,250338,-5.589,0.658,6rcBB3zLdFn6RjEzienOdm,Energetic
14,0.799,0.197,103.981,0.0313,0.0346,0.937,0.509,323816,-8.199,0.489,5gBXhnqKKWcReAnRUOw65v,Energetic
15,0.656,0.252,97.992,0.0436,0.114,0.852,0.714,210862,-6.094,0.428,0Z9ofr2DJYQ6lSlVUcM4ZQ,Energetic
16,0.49,0.0751,107.965,0.275,0.918,0.376,0.691,244506,-12.883,0.0385,37uqBNIiYgCuSF0ppMWzVx,Energetic
17,0.613,0.0809,122.002,0.133,0.1,0.665,0.841,248862,-8.231,0.479,2lO774u95zrlPunRBDtyRA,Energetic
18,0.377,0.0409,100.028,0.169,0.385,0.847,0.846,196232,-13.698,0.606,7l3MZPlCyfO7wXXH2X0JRE,Energetic
19,0.765,0.0952,113.009,0.0358,0.262,0.901,0.761,261285,-7.075,0.577,1LuMGOFh3gxyeZVERdgYnt,Energetic
20,0.667,0.144,90.02,0.0683,0.0286,0.00029,0.676,215998,-7.147,0.398,3U4uwhIYDpatmcyBEqy9QI,Energetic
21,0.683,0.0667,93.998,0.0557,0.299,0.964,0.632,256731,-9.513,0.0409,1smXxNGuz40eZi5LX8pmI1,Energetic
22,0.366,0.582,115.068,0.148,0.677,0.0786,0.71,187826,-12.68,0.321,479xhIMpUhIw1cjUXe6OO4,Energetic
23,0.527,0.0739,179.974,0.0443,0.718,0.715,0.585,208000,-9.972,0.105,4H25DIvtlGNNpebcxNqJZE,Energetic
24,0.756,0.289,119.998,0.0418,0.00442,0.808,0.705,269939,-6.582,0.203,4XpLwRcfumQsZ0IxDNOP3f,Energetic
25,0.46,0.0902,96.848,0.0255,0.561,0.942,0.585,174613,-9.175,0.103,7C94SNGLSbtOm16l82xy6F,Energetic
26,0.705,0.519,97.009,0.164,0.456,0.0593,0.525,259241,-7.331,0.616,3NBZZPLWVWSBlguC8TEk61,Energetic
27,0.662,0.393,179.97,0.195,0.234,0.809,0.642,283213,-9.153,0.106,0UgXbcumMvXTdIpUMXRfRP,Energetic
28,0.718,0.0981,129.956,0.0394,0.352,0.552,0.781,242133,-6.559,0.154,4LUu3bMpuxHjwPLj84rNSx,Energetic
29,0.575,0.103,129.953,0.0343,0.478,0.128,0.707,262013,-6.629,0.216,1D17MLY1m8MUpbMveEljMN,Energetic
30,0.456,0.0878,111.016,0.0919,0.663,0.0376,0.727,195737,-10.577,0.294,76hxD9aWoH3DRlxrIvLWLZ,Energetic
31,0.538,0.104,123.979,0.0397,0.0305,0.651,0.727,264293,-9.032,0.6,1RMXNaUZ8AdmANVYyNjNum,Energetic
32,0.585,0.161,121.999,0.0308,0.00116,0.895,0.692,173320,-6.456,0.667,1kFu2TuUmsARXGYc2eYXiC,Energetic
33,0.785,0.0941,110.004,0.0422,0.51,0.866,0.714,269500,-6.878,0.934,6mnp6LoK6oeredCPjVdBut,Energetic
34,0.507,0.102,109.121,0.0285,0.758,0.237,0.507,158981,-13.305,0.179,1qzOcN3cn0WHiPOQRWnu3w,Energetic
35,0.844,0.0827,119.042,0.0374,0.395,0.933,0.64,352247,-8.412,0.364,2hNTfrAILBLesbPootV83e,Energetic
36,0.59,0.0685,117.006,0.0464,0.23,0.834,0.693,475480,-7.232,0.237,6BbFwwHnzY74a8GOsDg8Sn,Energetic
37,0.423,0.0924,124.962,0.0369,0.837,0.966,0.441,268893,-9.435,0.159,0f3G1ecfRIffW1qhQt1lEG,Energetic
38,0.739,0.171,124.75,0.0718,0.0237,0.607,0.529,237547,-9.578,0.138,5DAjrJqXqYtgr67pVhmUeR,Energetic
39,0.653,0.112,117.999,0.0396,0.0281,0.858,0.656,307328,-11.883,0.199,3AW6V6zWH45jI7eNPnSDfT,Energetic
40,0.584,0.16,128.012,0.0287,0.224,0.714,0.447,165516,-7.308,0.181,3J2MMi0dCUdUBzzKQ0ipXB,Energetic
41,0.394,0.0988,81.988,0.0641,0.513,0.00155,0.416,237008,-9.269,0.131,1msfqzqHggvi1mlCT4Z7O5,Energetic
42,0.422,0.395,150.026,0.0707,0.26,0.223,0.791,248000,-7.737,0.499,5HEpukkNnxdPAV9zsgDLOx,Energetic
43,0.647,0.0667,124.997,0.126,0.0429,0.815,0.822,493511,-12.897,0.438,7I3BOAERAtfQG3Fkht5Kpi,Energetic
44,0.557,0.368,94.484,0.0392,0.00122,0.00376,0.477,303987,-8.593,0.0737,7G9nspS5rMqbRY0XEx2s0q,Energetic
45,0.515,0.102,127.001,0.0646,0.159,0.769,0.755,478183,-11.413,0.27,1UmLoPCg5kLMm3ROuHrZey,Energetic
46,0.202,0.0782,211.863,0.231,0.772,0.897,0.726,365695,-14.214,0.682,6FwRu39rhgBnYzZSXDSmLH,Energetic
47,0.387,0.0818,111.98,0.279,0.0755,0.861,0.723,353814,-12.039,0.133,2p6LQRALG9o3qKq8gOWX9f,Energetic
48,0.593,0.126,123.998,0.0298,0.00771,0.275,0.603,435484,-10.971,0.0986,0ZbsibQtb9M2N33y6FcyFh,Energetic
49,0.426,0.108,90.018,0.0392,0.00186,0.081,0.605,216000,-15.043,0.0708,3pmYKQY4NGqFIbAbB3YUL4,Energetic
50,0.692,0.098,131.694,0.0702,0.000696,0.766,0.591,178939,-7.817,0.547,1DH7pP36cZtRWRAynNSLeC,Energetic
51,0.461,0.103,98.998,0.0275,0.476,0.897,0.587,234688,-11.968,0.223,00DHieiDnak3hkU6Qa4yJQ,Energetic
52,0.39,0.0489,118.02,0.0976,0.071,0.747,0.881,440119,-10.675,0.607,1uBYrPtYmZ8cm3OYVBvSjk,Energetic
53,0.468,0.0794,121.001,0.0465,0.0543,0.804,0.826,468837,-8.595,0.203,5PRpTOhskrzzzPBUPXBltC,Energetic
54,0.681,0.0794,123.986,0.0317,0.0109,0.883,0.619,327097,-10.211,0.112,20KQjkNa6cZE8Mu5j6dSSS,Energetic
55,0.549,0.141,79.999,0.275,0.262,1.86e-06,0.61,240000,-8.98,0.38,6o5CnQ64kggC3sEnIUpEl5,Energetic
56,0.637,0.171,171.983,0.0509,0.21,0.704,0.709,262326,-8.392,0.817,4aOxQCKwOPVU2GICoIedp5,Energetic
57,0.532,0.359,171.957,0.226,0.338,0.883,0.591,203721,-7.509,0.254,4Z1xD1Wr3EF2uqgEODVPyH,Energetic
58,0.584,0.351,180.065,0.0667,0.268,0.606,0.605,228343,-8.083,0.58,3nKx86fcs8MYMydill0Sya,Energetic
59,0.495,0.109,125.996,0.0537,0.000806,0.772,0.571,413219,-7.927,0.074,7yRE5KBKSrntclxCKnlgYs,Energetic
60,0.775,0.0812,123.977,0.0437,0.0127,0.88,0.64,282645,-5.901,0.0973,2pAYGpDwOHSeBBBZttCXbs,Energetic
61,0.433,0.0553,99.996,0.0557,0.112,0.0233,0.833,230881,-7.003,0.256,5k88XtZ44NmyrrHdZ4Aeev,Energetic
62,0.83,0.115,124.009,0.0395,0.21,0.836,0.646,240000,-8.398,0.137,7LihoPgTF9hnxMh9lRTNkA,Energetic
63,0.575,0.0877,126.012,0.0693,0.000425,0.891,0.836,465713,-8.584,0.896,4aQKtoGs97E1juXc6SPWAd,Energetic
64,0.845,0.111,128.016,0.0804,0.00226,0.289,0.775,397500,-5.167,0.636,64Lleq4Cgz6lV0GZZnBi96,Energetic
65,0.433,0.198,113.508,0.0419,0.0123,0.143,0.45,254118,-10.839,0.0393,3gE9U5mNrJewDXN1wU7d8x,Energetic
66,0.489,0.106,92.992,0.0353,0.716,0.743,0.568,230342,-11.22,0.0387,287rRN24HNx4pNs0rwNQt8,Energetic
67,0.469,0.0724,176.934,0.0784,0.024,0.179,0.55,238341,-10.167,0.178,4brK3gpPjXArNUlU1hBXTe,Energetic
68,0.486,0.0753,123.981,0.1,0.000632,0.534,0.811,418117,-10.434,0.947,1TGCzulTWEOwqpp77eD6CD,Energetic
69,0.417,0.0696,92.008,0.0581,0.0907,0.224,0.839,251394,-10.371,0.601,510dqT7HRHtKYysY7CGEmL,Energetic
70,0.592,0.119,99.996,0.136,0.0365,0.86,0.817,200567,-10.996,0.764,2QEEEOMWUxkrgFfr7DqwBb,Energetic
71,0.665,0.0994,111.188,0.0547,0.124,0.887,0.793,250653,-12.347,0.661,3wMH1fDMAiXkd116i6CmFp,Energetic
72,0.523,0.116,111.982,0.0556,0.298,0.829,0.884,398376,-10.747,0.563,1DVyQeQEHahLABVhsGzWXJ,Energetic
73,0.528,0.11,98.046,0.0262,0.407,0.677,0.692,144490,-9.514,0.703,35e7wuY5cGvECEa2rSktDk,Energetic
74,0.683,0.157,132.582,0.0282,0.0281,0.631,0.671,225992,-9.331,0.317,5dJqwt6VSRxS8d2anUAhVc,Energetic
75,0.373,0.0873,118.989,0.0695,0.0118,0.614,0.758,361307,-16.452,0.463,2IO8CTPvNOr5FwM6j69CrA,Energetic
